nt n policy kernel bw
32 438976000 3d-mdrange Add 1638.7669
32 438976000 3d-mdrange Triad 1640.9799
32 429981696 4d-mdrange Set 854.8920
32 429981696 4d-mdrange Copy 1466.7931
32 429981696 4d-mdrange Scale 1459.0136
32 429981696 4d-mdrange Add 1544.5045
32 429981696 4d-mdrange Triad 1543.6869
32 380204032 5d-mdrange Set 486.8814
32 380204032 5d-mdrange Copy 899.5681
32 380204032 5d-mdrange Scale 893.6831
32 380204032 5d-mdrange Add 1202.9708
32 380204032 5d-mdrange Triad 1203.0690
32 655360000 range Set 1379.1714
32 655360000 range Copy 1698.2190
32 655360000 range Scale 1697.8835
32 655360000 range Add 1759.3750
32 655360000 range Triad 1761.4991
32 655360000 2d-mdrange Set 345.3554
32 655360000 2d-mdrange Copy 690.6585
32 655360000 2d-mdrange Scale 690.6522
32 655360000 2d-mdrange Add 1036.0028
32 655360000 2d-mdrange Triad 1035.9946
32 636056000 3d-mdrange Set 687.0113
32 636056000 3d-mdrange Copy 1361.8725
32 636056000 3d-mdrange Scale 1360.5907
32 636056000 3d-mdrange Add 1642.5601
32 636056000 3d-mdrange Triad 1644.5719
32 655360000 4d-mdrange Set 855.7186
32 655360000 4d-mdrange Copy 1460.5048
32 655360000 4d-mdrange Scale 1449.9606
32 655360000 4d-mdrange Add 1536.0386
32 655360000 4d-mdrange Triad 1536.1497
32 656356768 5d-mdrange Set 543.4447
32 656356768 5d-mdrange Copy 1003.2375
32 656356768 5d-mdrange Scale 996.6944
32 656356768 5d-mdrange Add 1331.1125
32 656356768 5d-mdrange Triad 1331.5030
32 1358954496 range Set 1380.7340
32 1358954496 range Copy 1698.2338
32 1358954496 range Scale 1696.5617
32 1358954496 range Add 1759.4230
32 1358954496 range Triad 1761.2947
32 1358954496 2d-mdrange Set 345.4643
32 1358954496 2d-mdrange Copy 690.9201
32 1358954496 2d-mdrange Scale 690.9175
32 1358954496 2d-mdrange Add 1036.3532
32 1358954496 2d-mdrange Triad 1036.3459
32 1331000000 3d-mdrange Set 688.1808
32 1331000000 3d-mdrange Copy 1363.9569
32 1331000000 3d-mdrange Scale 1362.0211
32 1331000000 3d-mdrange Add 1643.7231
32 1331000000 3d-mdrange Triad 1645.1538
32 1358954496 4d-mdrange Set 856.4170
32 1358954496 4d-mdrange Copy 1453.8526
32 1358954496 4d-mdrange Scale 1447.4014
32 1358954496 4d-mdrange Add 1528.8946
32 1358954496 4d-mdrange Triad 1529.3520
32 1453933568 5d-mdrange Set 510.0800
32 1453933568 5d-mdrange Copy 942.3336
32 1453933568 5d-mdrange Scale 936.0989
32 1453933568 5d-mdrange Add 1265.7760
32 1453933568 5d-mdrange Triad 1258.5029
