nt n factor policy kernel bw
96 331776 1 2d-mdrange Set 597.6600
96 331776 1 2d-mdrange Copy 1151.5002
96 331776 1 2d-mdrange Scale 972.9501
96 331776 1 2d-mdrange Add 1453.2988
96 331776 1 2d-mdrange Triad 1439.1151
96 262144 1 3d-mdrange Set 446.5826
96 262144 1 3d-mdrange Copy 832.8642
96 262144 1 3d-mdrange Scale 684.2258
96 262144 1 3d-mdrange Add 942.1168
96 262144 1 3d-mdrange Triad 873.4494
96 331776 1 4d-mdrange Set 547.9372
96 331776 1 4d-mdrange Copy 987.0614
96 331776 1 4d-mdrange Scale 841.5371
96 331776 1 4d-mdrange Add 1122.9198
96 331776 1 4d-mdrange Triad 1062.2497
96 331776 2 2d-mdrange Set 520.8414
96 331776 2 2d-mdrange Copy 1025.7809
96 331776 2 2d-mdrange Scale 905.8730
96 331776 2 2d-mdrange Add 1424.4408
96 331776 2 2d-mdrange Triad 1152.0000
96 262144 2 3d-mdrange Set 310.3673
96 262144 2 3d-mdrange Copy 474.4688
96 262144 2 3d-mdrange Scale 420.2288
96 262144 2 3d-mdrange Add 563.7000
96 262144 2 3d-mdrange Triad 461.8938
96 331776 2 4d-mdrange Set 170.8094
96 331776 2 4d-mdrange Copy 265.0365
96 331776 2 4d-mdrange Scale 374.5443
96 331776 2 4d-mdrange Add 413.9654
96 331776 2 4d-mdrange Triad 402.3559
96 331776 4 2d-mdrange Set 313.4768
96 331776 4 2d-mdrange Copy 593.9154
96 331776 4 2d-mdrange Scale 496.8566
96 331776 4 2d-mdrange Add 750.6244
96 331776 4 2d-mdrange Triad 671.6680
96 262144 4 3d-mdrange Set 201.7268
96 262144 4 3d-mdrange Copy 355.7510
96 262144 4 3d-mdrange Scale 273.8333
96 262144 4 3d-mdrange Add 398.1934
96 262144 4 3d-mdrange Triad 357.2661
96 331776 4 4d-mdrange Set 146.5765
96 331776 4 4d-mdrange Copy 231.4851
96 331776 4 4d-mdrange Scale 183.5679
96 331776 4 4d-mdrange Add 172.0904
96 331776 4 4d-mdrange Triad 173.8564
96 331776 8 2d-mdrange Set 481.3580
96 331776 8 2d-mdrange Copy 690.1217
96 331776 8 2d-mdrange Scale 692.0110
96 331776 8 2d-mdrange Add 1182.4508
96 331776 8 2d-mdrange Triad 1075.8849
96 262144 8 3d-mdrange Set 230.5830
96 262144 8 3d-mdrange Copy 391.5885
96 262144 8 3d-mdrange Scale 269.6261
96 262144 8 3d-mdrange Add 375.0943
96 262144 8 3d-mdrange Triad 285.9103
96 331776 8 4d-mdrange Set 75.8064
96 331776 8 4d-mdrange Copy 143.9531
96 331776 8 4d-mdrange Scale 124.1619
96 331776 8 4d-mdrange Add 80.1480
