nt n factor policy kernel bw
128 262144 8 3d-mdrange Copy 105.2787
128 262144 8 3d-mdrange Scale 107.9032
128 262144 8 3d-mdrange Add 155.9607
128 262144 8 3d-mdrange Triad 158.7148
128 331776 8 4d-mdrange Set 27.7431
128 331776 8 4d-mdrange Copy 56.0900
128 331776 8 4d-mdrange Scale 11.6119
128 331776 8 4d-mdrange Add 36.8756
128 331776 8 4d-mdrange Triad 90.1555
128 331776 16 2d-mdrange Set 62.0287
128 331776 16 2d-mdrange Copy 93.0795
128 331776 16 2d-mdrange Scale 62.3412
128 331776 16 2d-mdrange Add 87.3660
128 331776 16 2d-mdrange Triad 146.1300
128 262144 16 3d-mdrange Set 49.9084
128 262144 16 3d-mdrange Copy 91.1805
128 262144 16 3d-mdrange Scale 94.2752
128 262144 16 3d-mdrange Add 138.3954
128 262144 16 3d-mdrange Triad 138.4563
128 331776 16 4d-mdrange Set 7.6386
128 331776 16 4d-mdrange Copy 21.2513
128 331776 16 4d-mdrange Scale 18.4210
128 331776 16 4d-mdrange Add 26.7820
128 331776 16 4d-mdrange Triad 16.9114
128 331776 32 2d-mdrange Set 66.3055
128 331776 32 2d-mdrange Copy 113.4738
128 331776 32 2d-mdrange Scale 65.2300
128 331776 32 2d-mdrange Add 92.1696
128 331776 32 2d-mdrange Triad 124.2413
128 262144 32 3d-mdrange Set 26.4225
128 262144 32 3d-mdrange Copy 68.1115
128 262144 32 3d-mdrange Scale 54.4496
128 262144 32 3d-mdrange Add 73.7395
128 262144 32 3d-mdrange Triad 77.6330
128 331776 32 4d-mdrange Set 5.9825
128 331776 32 4d-mdrange Copy 18.0459
128 331776 32 4d-mdrange Scale 11.8750
128 331776 32 4d-mdrange Add 26.6013
128 331776 32 4d-mdrange Triad 25.1630
128 331776 64 2d-mdrange Set 47.1356
128 331776 64 2d-mdrange Copy 105.9987
128 331776 64 2d-mdrange Scale 101.2844
128 331776 64 2d-mdrange Add 140.5831
128 331776 64 2d-mdrange Triad 132.9963
128 262144 64 3d-mdrange Set 14.8860
128 262144 64 3d-mdrange Copy 28.1949
128 262144 64 3d-mdrange Scale 23.2550
128 262144 64 3d-mdrange Add 34.6042
128 262144 64 3d-mdrange Triad 35.2027
128 331776 64 4d-mdrange Set 6.2994
128 331776 64 4d-mdrange Copy 14.9586
128 331776 64 4d-mdrange Scale 20.1128
128 331776 64 4d-mdrange Add 12.4302
128 331776 64 4d-mdrange Triad 26.2150
128 1048576 1 2d-mdrange Set 204.8500
128 1048576 1 2d-mdrange Copy 415.5862
128 1048576 1 2d-mdrange Scale 386.5718
128 1048576 1 2d-mdrange Add 559.9747
128 1048576 1 2d-mdrange Triad 540.6192
128 2097152 1 3d-mdrange Set 383.1289
128 2097152 1 3d-mdrange Copy 722.2064
128 2097152 1 3d-mdrange Scale 642.7929
128 2097152 1 3d-mdrange Add 929.6402
128 2097152 1 3d-mdrange Triad 848.0480
128 1048576 1 4d-mdrange Set 194.8573
128 1048576 1 4d-mdrange Copy 396.1469
128 1048576 1 4d-mdrange Scale 373.1587
128 1048576 1 4d-mdrange Add 469.7746
128 1048576 1 4d-mdrange Triad 458.7281
128 1048576 2 2d-mdrange Set 208.1540
128 1048576 2 2d-mdrange Copy 407.8079
128 1048576 2 2d-mdrange Scale 384.6133
128 1048576 2 2d-mdrange Add 559.9872
128 1048576 2 2d-mdrange Triad 549.7122
128 2097152 2 3d-mdrange Set 343.4435
128 2097152 2 3d-mdrange Copy 569.1919
128 2097152 2 3d-mdrange Scale 532.9399
128 2097152 2 3d-mdrange Add 683.1114
128 2097152 2 3d-mdrange Triad 651.1125
128 1048576 2 4d-mdrange Set 198.3122
128 1048576 2 4d-mdrange Copy 279.8021
128 1048576 2 4d-mdrange Scale 311.2079
128 1048576 2 4d-mdrange Add 429.1507
