nt n factor policy kernel bw
32 20736 32 2d-mdrange Triad 40.5892
32 32768 32 3d-mdrange Set 20.8051
32 32768 32 3d-mdrange Copy 39.8395
32 32768 32 3d-mdrange Scale 39.1523
32 32768 32 3d-mdrange Add 58.0821
32 32768 32 3d-mdrange Triad 61.2963
32 20736 32 4d-mdrange Set 12.9196
32 20736 32 4d-mdrange Copy 24.7225
32 20736 32 4d-mdrange Scale 25.0586
32 20736 32 4d-mdrange Add 36.1674
32 20736 32 4d-mdrange Triad 38.6385
32 20736 64 2d-mdrange Set 14.7194
32 20736 64 2d-mdrange Copy 27.1480
32 20736 64 2d-mdrange Scale 27.0595
32 20736 64 2d-mdrange Add 39.6229
32 20736 64 2d-mdrange Triad 43.9982
32 32768 64 3d-mdrange Set 20.4800
32 32768 64 3d-mdrange Copy 39.8093
32 32768 64 3d-mdrange Scale 39.4795
32 32768 64 3d-mdrange Add 57.4038
32 32768 64 3d-mdrange Triad 60.9637
32 65536 1 2d-mdrange Set 43.7271
32 65536 1 2d-mdrange Copy 83.2864
32 65536 1 2d-mdrange Scale 82.7605
32 65536 1 2d-mdrange Add 122.7841
32 65536 1 2d-mdrange Triad 122.2117
32 64000 1 3d-mdrange Set 39.9065
32 64000 1 3d-mdrange Copy 77.9834
32 64000 1 3d-mdrange Scale 77.8707
32 64000 1 3d-mdrange Add 115.1424
32 64000 1 3d-mdrange Triad 113.1909
32 65536 1 4d-mdrange Set 42.0439
32 65536 1 4d-mdrange Copy 82.5001
32 65536 1 4d-mdrange Scale 83.0161
32 65536 1 4d-mdrange Add 119.7005
32 65536 1 4d-mdrange Triad 117.7293
32 65536 2 2d-mdrange Set 43.6543
32 65536 2 2d-mdrange Copy 82.4352
32 65536 2 2d-mdrange Scale 82.5650
32 65536 2 2d-mdrange Add 121.8330
32 65536 2 2d-mdrange Triad 120.9895
32 64000 2 3d-mdrange Set 40.2231
32 64000 2 3d-mdrange Copy 78.7692
32 64000 2 3d-mdrange Scale 79.0123
32 64000 2 3d-mdrange Add 115.9245
32 64000 2 3d-mdrange Triad 112.9412
32 65536 2 4d-mdrange Set 41.5442
32 65536 2 4d-mdrange Copy 78.9590
32 65536 2 4d-mdrange Scale 79.4978
32 65536 2 4d-mdrange Add 118.0829
32 65536 2 4d-mdrange Triad 117.0286
32 65536 4 2d-mdrange Set 43.3690
32 65536 4 2d-mdrange Copy 82.5001
32 65536 4 2d-mdrange Scale 82.8914
32 65536 4 2d-mdrange Add 121.9274
32 65536 4 2d-mdrange Triad 121.2694
32 64000 4 3d-mdrange Set 41.8643
32 64000 4 3d-mdrange Copy 78.8359
32 64000 4 3d-mdrange Scale 79.3184
32 64000 4 3d-mdrange Add 116.5314
32 64000 4 3d-mdrange Triad 116.4519
32 65536 4 4d-mdrange Set 41.5409
32 65536 4 4d-mdrange Copy 78.7870
32 65536 4 4d-mdrange Scale 79.2574
32 65536 4 4d-mdrange Add 115.0680
32 65536 4 4d-mdrange Triad 116.2501
32 65536 8 2d-mdrange Set 45.1194
32 65536 8 2d-mdrange Copy 84.7677
32 65536 8 2d-mdrange Scale 86.7309
32 65536 8 2d-mdrange Add 127.3677
32 65536 8 2d-mdrange Triad 126.7417
32 64000 8 3d-mdrange Set 40.4743
32 64000 8 3d-mdrange Copy 76.8711
32 64000 8 3d-mdrange Scale 76.7616
32 64000 8 3d-mdrange Add 111.7823
