nt n factor policy kernel bw
7 65536 2 2d-mdrange Set 58.9883
7 65536 2 2d-mdrange Copy 80.9399
7 65536 2 2d-mdrange Scale 80.4369
7 65536 2 2d-mdrange Add 115.9331
7 65536 2 2d-mdrange Triad 115.3464
7 64000 2 3d-mdrange Set 57.4184
7 64000 2 3d-mdrange Copy 77.0794
7 64000 2 3d-mdrange Scale 75.9306
7 64000 2 3d-mdrange Add 109.7378
7 64000 2 3d-mdrange Triad 109.7378
7 65536 2 4d-mdrange Set 45.3419
7 65536 2 4d-mdrange Copy 76.7794
7 65536 2 4d-mdrange Scale 75.7259
7 65536 2 4d-mdrange Add 106.8594
7 65536 2 4d-mdrange Triad 105.4269
7 65536 4 2d-mdrange Set 49.8325
7 65536 4 2d-mdrange Copy 81.8241
7 65536 4 2d-mdrange Scale 80.6907
7 65536 4 2d-mdrange Add 114.0004
7 65536 4 2d-mdrange Triad 114.7490
7 64000 4 3d-mdrange Set 57.2835
7 64000 4 3d-mdrange Copy 76.9000
7 64000 4 3d-mdrange Scale 76.4978
7 64000 4 3d-mdrange Add 107.0532
7 64000 4 3d-mdrange Triad 108.1157
7 65536 4 4d-mdrange Set 45.1895
7 65536 4 4d-mdrange Copy 74.6477
7 65536 4 4d-mdrange Scale 73.7499
7 65536 4 4d-mdrange Add 101.6719
7 65536 4 4d-mdrange Triad 102.4067
7 65536 8 2d-mdrange Set 50.9017
7 65536 8 2d-mdrange Copy 80.9399
7 65536 8 2d-mdrange Scale 80.1357
7 65536 8 2d-mdrange Add 115.1775
7 65536 8 2d-mdrange Triad 115.2535
7 64000 8 3d-mdrange Set 47.1846
7 64000 8 3d-mdrange Copy 74.1116
7 64000 8 3d-mdrange Scale 73.8977
7 64000 8 3d-mdrange Add 102.9560
7 64000 8 3d-mdrange Triad 103.3022
7 65536 8 4d-mdrange Set 44.3073
7 65536 8 4d-mdrange Copy 69.5342
7 65536 8 4d-mdrange Scale 69.5388
7 65536 8 4d-mdrange Add 92.8327
7 65536 8 4d-mdrange Triad 92.5595
7 65536 16 2d-mdrange Set 55.9658
7 65536 16 2d-mdrange Copy 73.4400
7 65536 16 2d-mdrange Scale 73.8018
7 65536 16 2d-mdrange Add 100.6311
7 65536 16 2d-mdrange Triad 101.0773
7 64000 16 3d-mdrange Set 44.3559
7 64000 16 3d-mdrange Copy 66.3212
7 64000 16 3d-mdrange Scale 65.9369
7 64000 16 3d-mdrange Add 88.5609
7 64000 16 3d-mdrange Triad 89.2816
7 65536 16 4d-mdrange Set 40.9121
7 65536 16 4d-mdrange Copy 63.2740
7 65536 16 4d-mdrange Scale 63.3887
7 65536 16 4d-mdrange Add 83.7209
7 65536 16 4d-mdrange Triad 82.5347
7 65536 32 2d-mdrange Set 42.6458
7 65536 32 2d-mdrange Copy 63.5809
7 65536 32 2d-mdrange Scale 65.0401
7 65536 32 2d-mdrange Add 83.8592
7 65536 32 2d-mdrange Triad 84.9921
7 64000 32 3d-mdrange Set 43.7121
7 64000 32 3d-mdrange Copy 66.4935
7 64000 32 3d-mdrange Scale 66.6276
7 64000 32 3d-mdrange Add 88.4589
7 64000 32 3d-mdrange Triad 88.8221
7 65536 64 2d-mdrange Set 39.7942
7 65536 64 2d-mdrange Copy 59.9392
7 65536 64 2d-mdrange Scale 60.3879
7 65536 64 2d-mdrange Add 79.7679
7 65536 64 2d-mdrange Triad 80.3794
7 64000 64 3d-mdrange Set 39.5825
7 64000 64 3d-mdrange Copy 66.8844
7 64000 64 3d-mdrange Scale 66.2783
7 64000 64 3d-mdrange Add 85.9782
7 64000 64 3d-mdrange Triad 85.5472
7 331776 1 2d-mdrange Set 203.7780
7 331776 1 2d-mdrange Copy 315.0021
7 331776 1 2d-mdrange Scale 319.9190
7 331776 1 2d-mdrange Add 429.5762
7 331776 1 2d-mdrange Triad 440.5324
7 262144 1 3d-mdrange Set 174.5735
7 262144 1 3d-mdrange Copy 266.1192
7 262144 1 3d-mdrange Scale 259.6771
7 262144 1 3d-mdrange Add 350.0115
7 262144 1 3d-mdrange Triad 351.9696
7 331776 1 4d-mdrange Set 173.3643
7 331776 1 4d-mdrange Copy 249.4439
7 331776 1 4d-mdrange Scale 243.5835
7 331776 1 4d-mdrange Add 342.1106
7 331776 1 4d-mdrange Triad 340.7782
7 331776 2 2d-mdrange Set 207.1173
