nt n policy kernel bw
64 157351936 4d-openmp-simd Add 124.0289
64 157351936 4d-openmp-simd Triad 122.4397
64 164916224 5d-mdrange Set 37.2372
64 164916224 5d-mdrange Copy 44.3304
64 164916224 5d-mdrange Scale 45.1924
64 164916224 5d-mdrange Add 50.0253
64 164916224 5d-mdrange Triad 50.0979
64 268435456 range Set 84.9522
64 268435456 range Copy 109.8267
64 268435456 range Scale 109.3842
64 268435456 range Add 122.5995
64 268435456 range Triad 121.5776
64 268435456 2d-mdrange Set 82.8986
64 268435456 2d-mdrange Copy 106.9574
64 268435456 2d-mdrange Scale 105.9256
64 268435456 2d-mdrange Add 120.8202
64 268435456 2d-mdrange Triad 120.7889
64 262144000 3d-mdrange Set 37.0188
64 262144000 3d-mdrange Copy 47.4075
64 262144000 3d-mdrange Scale 47.7161
64 262144000 3d-mdrange Add 53.9795
64 262144000 3d-mdrange Triad 54.6291
64 268435456 4d-mdrange Set 36.3910
64 268435456 4d-mdrange Copy 47.4037
64 268435456 4d-mdrange Scale 47.4983
64 268435456 4d-mdrange Add 52.9264
64 268435456 4d-mdrange Triad 53.2503
64 268435456 4d-mdrange-tiling Set 83.5254
64 268435456 4d-mdrange-tiling Copy 108.0910
64 268435456 4d-mdrange-tiling Scale 108.4963
64 268435456 4d-mdrange-tiling Add 121.1383
64 268435456 4d-mdrange-tiling Triad 121.5412
64 268435456 4d-openmp Set 84.2018
64 268435456 4d-openmp Copy 108.7603
64 268435456 4d-openmp Scale 108.9904
64 268435456 4d-openmp Add 121.0876
64 268435456 4d-openmp Triad 122.0498
64 268435456 4d-openmp-simd Set 83.8888
64 268435456 4d-openmp-simd Copy 105.8058
64 268435456 4d-openmp-simd Scale 108.5085
64 268435456 4d-openmp-simd Add 121.0451
64 268435456 4d-openmp-simd Triad 121.6051
64 254803968 5d-mdrange Set 36.6214
64 254803968 5d-mdrange Copy 45.7465
64 254803968 5d-mdrange Scale 46.2933
64 254803968 5d-mdrange Add 51.3418
64 254803968 5d-mdrange Triad 50.2343
64 429981696 range Set 82.8099
64 429981696 range Copy 106.4441
64 429981696 range Scale 108.0072
64 429981696 range Add 121.0412
64 429981696 range Triad 121.6677
64 429981696 2d-mdrange Set 81.1724
64 429981696 2d-mdrange Copy 105.5016
64 429981696 2d-mdrange Scale 106.5674
64 429981696 2d-mdrange Add 120.1112
64 429981696 2d-mdrange Triad 120.4686
64 438976000 3d-mdrange Set 37.6370
64 438976000 3d-mdrange Copy 49.0688
64 438976000 3d-mdrange Scale 50.0651
64 438976000 3d-mdrange Add 56.4263
64 438976000 3d-mdrange Triad 56.4214
64 429981696 4d-mdrange Set 36.7468
64 429981696 4d-mdrange Copy 47.7045
64 429981696 4d-mdrange Scale 48.3168
64 429981696 4d-mdrange Add 53.9210
64 429981696 4d-mdrange Triad 53.8167
